CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
欧洲联盟,EUU,核能发电量（千瓦时）,EG.ELC.NUCL.KH,2370000000,2862000000,4297000000,7257000000,11374000000,19833000000,26002000000,30719000000,34266000000,41924000000,42797000000,49483000000,63674000000,68058000000,80297000000,1.09E+11,1.28E+11,1.53E+11,1.73E+11,1.91E+11,2.22E+11,3.04E+11,3.35E+11,3.96E+11,5.06E+11,6.06E+11,6.60E+11,6.82E+11,7.35E+11,7.76E+11,7.95E+11,8.20E+11,8.27E+11,8.62E+11,8.59E+11,8.81E+11,9.26E+11,9.38E+11,9.33E+11,9.43E+11,9.45E+11,9.79E+11,9.90E+11,9.96E+11,1.01E+12,9.98E+11,9.90E+11,9.35E+11,9.37E+11,8.94E+11,9.17E+11,9.07E+11,,,
,FCS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
芬兰,FIN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660000000,3264000000,6742000000,7022000000,14665000000,16776000000,17720000000,18867000000,19059000000,19059000000,19646000000,19554000000,19090000000,19216000000,19511000000,19260000000,19928000000,19427000000,19216000000,19476000000,20894000000,21853000000,22974000000,22479000000,22773000000,22295000000,22731000000,22716000000,23271000000,22906000000,23423000000,22958000000,23526000000,22800000000,23187000000,22978000000,,
斐济,FJI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法国,FRA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,146000000,271000000,473000000,466000000,655000000,1053000000,1606000000,2921000000,3539000000,4956000000,5711000000,9336000000,14592000000,14741000000,14695000000,18248000000,15778000000,17986000000,30483000000,39960000000,61251000000,1.05E+11,1.09E+11,1.44E+11,1.91E+11,2.24E+11,2.54E+11,2.66E+11,2.76E+11,3.04E+11,3.14E+11,3.31E+11,3.38E+11,3.68E+11,3.60E+11,3.77E+11,3.97E+11,3.95E+11,3.88E+11,3.94E+11,4.15E+11,4.21E+11,4.37E+11,4.41E+11,4.48E+11,4.52E+11,4.50E+11,4.40E+11,4.39E+11,4.10E+11,4.29E+11,4.42E+11,4.25E+11,,
法罗群岛,FRO,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密克罗尼西亚联邦,FSM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加蓬,GAB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
英国,GBR,核能发电量（千瓦时）,EG.ELC.NUCL.KH,2224000000,2567000000,3720000000,6365000000,8163000000,15135000000,20217000000,23277000000,26190000000,29125000000,26012000000,27548000000,29378000000,27997000000,33617000000,30338000000,36155000000,40021000000,37224000000,38308000000,37023000000,37969000000,43972000000,49928000000,53979000000,61095000000,59079000000,55238000000,63456000000,71734000000,65749000000,70543000000,76807000000,89353000000,88282000000,88964000000,94671000000,98146000000,99486000000,95133000000,85063000000,90094000000,87848000000,88686000000,79999000000,81618000000,75451000000,63028000000,52486000000,69098000000,62140000000,68980000000,70405000000,,
格鲁吉亚,GEO,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
加纳,GHA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
几内亚,GIN,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
